,Unnamed: 0,customer_id,contract_type,sex,age,pref,payway,identified_doc,career,domain,region,entry_age,selling_method,campaign,amount,paid_flg,customer_rank,arrears_at,arrears_count,bill_updage_count
1772,1772,247989678,1,2,33,13,2,1,12,0,T,31,1,a,1496,0,50,99,0,1
5103,5103,804524422,1,1,31,35,4,98,#,0,N,22,1,L,4191,0,70,99,0,1
4718,4718,613661740,1,1,48,25,4,1,#,0,K,31,1,L,3800,0,100,99,0,0
4392,4392,250203043,1,1,15,6,1,1,#,0,H,44,1,L,1600,0,20,99,0,1
5128,5128,246829773,1,1,58,**,4,1,11,500,T,57,#,#,910,0,50,99,0,0
1639,1639,947286158,1,2,26,13,2,1,#,0,H,20,1,L,648,0,60,99,0,0
5719,5719,245558332,1,2,31,28,2,1,12,0,K,30,1,L,324,0,50,99,0,0
4700,4700,971629284,1,1,49,13,4,1,12,0,T,45,1,L,324,0,100,99,0,0
3943,3943,981232369,1,2,50,23,2,1,12,0,C,46,1,L,100,0,50,99,0,0
3836,3836,968104232,1,2,29,25,2,1,12,0,K,25,1,L,500,0,80,99,0,0
1701,1701,985720711,1,2,37,**,2,1,12,0,K,33,1,L,1746,0,70,99,0,1
