,customer_id,contract_type,sex,age,pref,payway,identified_doc,career,domain,region,entry_age,selling_method,campaign,amount,paid_flg,customer_rank,arrears_at,arrears_count,bill_updage_count
327,991506761,1,2,17,47,4,1,#,0,Q,43,1,L,,,,,,
328,965592847,1,2,46,13,4,1,#,0,T,44,1,M,,,,,,
329,903534073,1,1,35,40,4,99,#,0,Q,20,1,L,,,,,,
330,977329432,1,1,31,13,1,99,#,99,T,29,1,L,,,,,,
331,503050884,1,2,42,23,4,1,#,0,C,20,1,a,130,0,,,,
332,257658522,1,2,65,**,2,1,11,500,T,65,1,L,1023,0,30,99,0,1
333,988904047,1,2,30,**,2,1,12,0,T,26,1,a,324,0,50,99,0,0
334,606986884,1,1,60,**,4,1,#,0,K,51,1,R,,,,,,
335,946905194,1,1,22,**,2,1,#,0,K,19,1,L,,,,,,
336,993385753,2,#,0,14,2,1,16,0,T,999,1,L,,,,,,
337,103872911,1,2,20,1,4,1,#,0,D,45,1,L,1240,0,100,99,0,0
338,242944152,1,2,13,27,2,1,#,500,K,37,1,L,,,,,,
339,972770326,1,2,56,**,2,1,#,0,C,53,1,L,,,,,,
340,340060407,2,#,0,20,2,1,#,0,T,999,1,I,,,,,,
341,508392582,1,2,68,**,4,1,#,0,C,63,1,L,,,,,,
342,315505253,1,1,69,11,2,1,#,0,T,53,1,L,,,,,,
343,993971770,2,#,0,44,4,99,#,0,T,999,51,9,,,,,,
344,945816374,1,2,52,21,4,1,#,0,C,46,1,L,,,,,,
345,942483003,2,#,0,33,2,1,#,0,T,999,1,L,540,0,50,99,0,1
346,318868155,1,1,31,14,4,1,12,0,T,21,1,a,2007,0,70,99,0,1
347,969538326,1,2,56,**,2,1,11,0,T,52,1,L,,,,,,
348,240423583,1,2,35,23,2,1,#,0,C,33,1,R,,,,,,
349,254781894,1,2,24,14,3,8,#,0,T,24,1,a,4890,1,5,99,0,0
350,250219187,1,2,26,4,4,1,#,500,H,26,#,9,2300,0,60,99,0,0
351,967628090,1,2,57,**,2,1,#,0,K,50,1,a,1,0,30,12,1,0
352,969664970,1,2,56,**,4,1,#,10,K,53,#,#,,,,,,
353,960665670,1,1,44,**,2,1,11,0,T,40,1,L,,,,,,
354,327189759,1,2,23,**,4,17,12,0,T,15,1,L,,,,,,
355,903261231,1,1,43,13,4,99,#,0,Q,25,1,a,3600,0,100,99,0,0
356,954307994,1,2,22,31,2,17,11,0,N,17,1,L,3600,0,100,99,0,1
357,340688758,1,1,50,11,4,1,11,0,T,43,1,L,,,,,,
358,996776205,1,1,58,**,4,1,12,500,T,58,1,L,,,,,,
