,Unnamed: 0,customer_id,contract_type,sex,age,pref,payway,identified_doc,career,domain,region,entry_age,selling_method,campaign,amount,paid_flg,customer_rank,arrears_at,arrears_count,bill_updage_count
1124,1124,604797227,1,1,40,27,4,1,#,0,K,22,1,L,324,0,100,99,0,0
1125,1125,958061915,1,1,47,13,2,6,#,0,T,40,1,L,1007,0,50,99,0,1
1128,1128,516301323,1,2,48,40,4,1,#,0,C,37,1,L,864,0,110,99,0,0
1131,1131,954722673,1,2,38,19,4,1,12,0,T,30,1,L,3240,0,110,99,0,0
1132,1132,328599445,1,1,29,20,2,1,#,0,T,22,1,L,225,0,50,99,0,1
1137,1137,970258999,1,1,67,28,4,1,12,500,K,61,1,L,594,0,50,99,0,1
1146,1146,987263139,1,2,29,27,2,1,12,0,T,25,1,a,1080,0,40,10,1,1
1150,1150,996942959,1,1,14,27,2,1,#,0,K,39,1,L,550,0,20,6,1,0
1154,1154,965697882,1,1,32,35,4,1,12,0,N,26,1,a,324,0,100,99,0,0
1155,1155,318426522,1,1,32,**,4,1,#,0,T,23,1,L,700,0,80,99,0,1
1162,1162,253309115,1,2,48,27,2,28,12,500,K,47,1,L,980,0,20,6,2,0
1166,1166,256813193,1,2,53,**,4,1,11,0,T,52,1,a,720,0,100,99,0,0
1168,1168,605492341,1,1,60,30,4,1,#,0,K,46,1,0,3400,0,100,99,0,0
1170,1170,257454184,1,1,25,11,4,8,#,0,T,24,1,a,594,0,5,99,0,1
1172,1172,505841346,1,2,32,23,2,1,#,0,C,16,1,L,864,0,100,99,0,0
1184,1184,607038235,1,1,25,27,4,1,#,0,K,15,1,a,540,0,80,99,0,2
1185,1185,994324832,1,1,24,**,2,1,11,0,T,23,1,L,1510,1,3,10,3,0
1187,1187,500719385,2,#,0,21,4,2,#,0,C,999,1,a,2610,0,90,99,0,1
1188,1188,984605158,1,2,49,11,2,21,12,0,T,47,1,L,242,0,30,99,0,1
1189,1189,508443021,1,1,25,**,2,1,#,0,C,15,0,0,41960,0,50,99,0,0
1192,1192,997284218,1,1,28,**,4,99,11,500,T,28,#,#,2007,0,80,99,0,1
1193,1193,959513275,1,2,27,14,4,1,#,0,T,23,1,L,480,0,60,99,0,1
1194,1194,328650262,1,2,40,11,4,1,12,0,T,30,1,L,936,0,100,99,0,1
1196,1196,942783558,1,1,9,30,4,1,11,0,K,43,1,L,108,0,100,99,0,0
1200,1200,997012578,1,1,23,13,2,8,#,0,T,20,1,a,360,1,3,3,9,0
1204,1204,309888949,1,1,28,14,4,20,12,0,T,18,1,L,980,0,100,99,0,0
1205,1205,977408037,1,1,40,43,2,99,12,0,Q,38,1,L,3500,0,60,99,0,1
